merge_a,merge_b,endpoint,base_model,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon,q_sign
anm226695,jf35892,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm226695,jf35892,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.5152778625488281,0.6476058959960938,0.5152778625488281,0.6476058959960938
anm226695,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm226695,jf37166,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm226695,jf37166,any_spike,context,19,0.015291803426662,12,19,0.09551239013671875,0.359283447265625,0.127349853515625,0.359283447265625
anm226695,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm234230,anm234231,count,context,19,0.0158275950408049,14,19,0.000522613525390625,0.063568115234375,0.0020904541015625,0.12713623046875
anm234230,anm234231,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm234230,anm234231,any_spike,context,19,0.015291803426662,11,19,0.104156494140625,0.6476058959960938,0.13887532552083334,0.6476058959960938
anm234230,anm234231,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.2753410339355469,0.6476058959960938,0.2753410339355469,0.6476058959960938
anm234230,anm234232,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm234230,anm234232,count,continuous_kinematics,19,0.0079079365151952,14,19,0.0033416748046875,0.063568115234375,0.006683349609375,0.12713623046875
anm234230,anm234232,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.359283447265625
anm234230,anm234232,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm234230,anm244024,count,context,19,0.0158275950408049,15,19,0.000522613525390625,0.0192108154296875,0.0020904541015625,0.07684326171875
anm234230,anm244024,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm234230,anm244024,any_spike,context,19,0.015291803426662,11,19,0.14468765258789062,0.6476058959960938,0.1929168701171875,0.6476058959960938
anm234230,anm244024,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.2753410339355469,0.6476058959960938,0.2753410339355469,0.6476058959960938
anm234230,anm244025,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
